Company Symbol,Company Name,Sector,Shares Outstanding,EPS,P/E Ratio,Book Value,PBV,Market Capitalization,% Dividend,% Bonus,Right Share
SLICLP,Surya Life Insurance Co. Ltd. Promoter Share (SLICLP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,372,0,,"14.25
                                
                                    (FY:068-069)",
NBBD2085,10.25% NBB Debenture 2085 (NBBD2085),Corporate Debenture,,"0.00 (FY:, Q:0)",0,0,"1,142.00",0,,,
ULHC,Upper Lohore Khola Hydropower Company Limited (ULHC),Hydro Power,"5,098,040.00","-0.40 (FY:081-082, Q:1)","-1,320.00",98.43,5.36,"2,691,765,120.00",,,
KRBLPO,Karnali Development Bank Limited Promoter Share (KRBLPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,217,0,"5.00
                                
                                    (FY:071-072)","11.00
                                
                                    (FY:071-072)",
VLBSPO,Vijaya laghubitta Bittiya Sanstha Ltd. Promoter Share (VLBSPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,495,0,,,
PBD85,8.75% Prime Commercial Bank Debenture 2085 (PBD85),Corporate Debenture,"2,447,963.00","0.00 (FY:, Q:0)",0,0,"1,020.60","2,498,391,037.80",,,
STC,Salt Trading Corporation (STC),Tradings,"3,207,169.55","22.05 (FY:081-082, Q:2)",244.9,524.8,10.29,"17,318,715,570.00",,,
PCBL,Prime Commercial Bank Ltd. (PCBL),Commercial Banks,"194,025,757.20","19.28 (FY:081-082, Q:2)",13.23,162.64,1.57,"49,495,970,661.72","5.00
                                
                                    (FY:080-081)",,
RHPL,RASUWAGADHI HYDROPOWER COMPANY LIMITED (RHPL),Hydro Power,"68,421,000.00","-0.88 (FY:081-082, Q:2)",-454.55,93.98,4.26,"27,368,400,000.00",,,
SSHL,Shiva Shree Hydropower Limited (SSHL),Hydro Power,"14,764,000.00","-8.34 (FY:081-082, Q:2)",-27.97,11.94,19.54,"3,444,441,200.00",,,
NBF2,NABIL BALANCED FUND-2 (NBF2),Mutual Fund,"112,000,000.00","0.00 (FY:081-082, Q:10)",0,0,0,"1,066,240,000.00","9.60
                                
                                    (FY:079-080)",,
ALBSL,Asha Laghubitta Bittiya Sanstha Limited (ALBSL),Microfinance,"7,330,462.80","6.45 (FY:081-082, Q:2)",132.25,147.95,5.77,"6,252,884,768.40",,,
SMB,Support Microfinance Bittiya Sanstha Ltd. (SMB),Microfinance,"1,224,434.50","25.32 (FY:081-082, Q:2)",105.96,141.32,18.99,"3,285,157,763.50",,,"1:2
                                
                                    (FY:072-073)"
CLIP,Citizen Life Insurance Company Limited Promoter Share (CLIP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,0,0,,,
MFLD85,9.5% Manjushree Finance Limited Debenture 2085 (MFLD85),Corporate Debenture,"500,000.00","0.00 (FY:, Q:0)",0,0,"1,075.00","537,500,000.00",,,
DDBLPO,Deprosc LaghuBitta Bittiya Sanstha Limited Promoter Share (DDBLPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,440,0,"2.63
                                
                                    (FY:071-072)","50.00
                                
                                    (FY:071-072)","1:01
                                
                                    (FY:071-072)"
MBLD87,"8.50% Machhapuchchhre Debenture 2087	 (MBLD87)",Corporate Debenture,"3,000,000.00","0.00 (FY:, Q:0)",0,0,"1,041.00","3,123,000,000.00",,,
MLBL,Mahalaxmi Bikas Bank Ltd. (MLBL),Development Bank Limited,"41,713,186.00","13.78 (FY:081-082, Q:2)",30.41,165.35,2.53,"17,477,824,934.00",,,
EHPL,Eastern Hydropower Limited (EHPL),Hydro Power,"6,200,000.00","6.22 (FY:081-082, Q:2)",127.17,74.63,10.6,"4,904,200,000.00",,,
GSY,Garima Samriddhi Yojana (GSY),Mutual Fund,"125,000,000.00","0.00 (FY:081-082, Q:10)",0,0,0,"1,121,250,000.00",,,
KLBSLP,Kisan Lagubitta Bittiya Sanstha Limited Promoter Share (KLBSLP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,545,0,,,
CITY,City Hotel Limited (CITY),Hotels And Tourism,"16,740,000.00","-12.54 (FY:081-082, Q:2)",-69.94,84.04,10.44,"14,682,654,000.00",,,
MFIL,Manjushree Finance Ltd. (MFIL),Finance,"13,515,528.50","17.33 (FY:081-082, Q:2)",36.06,166.21,3.76,"8,447,205,312.50",,,
SAHAS,Sahas Urja Limited (SAHAS),Hydro Power,"37,800,000.00","37.56 (FY:081-082, Q:2)",13.55,178.9,2.85,"19,240,200,000.00","0.42
                                
                                    (FY:080-081)","8.00
                                
                                    (FY:080-081)",
PBD84,"10.15% Prime Debenture 2084	 (PBD84)",Corporate Debenture,"5,000,000.00","0.00 (FY:, Q:0)",0,0,"1,094.40","5,472,000,000.00",,,
LICNPO,Life Insurance Co. Nepal Promoter Share (LICNPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,0,0,,,
EBLD86,8.5% of Everest Bank Limited Debenture 2086 (EBLD86),Corporate Debenture,"2,000,000.00","0.00 (FY:, Q:0)",0,0,"1,026.00","2,052,000,000.00",,,
MHCL,Molung Hydropower Company Limited (MHCL),Hydro Power,"8,025,000.00","10.02 (FY:081-082, Q:2)",55.59,81.67,6.82,"4,469,925,000.00",,,
GBIMEP,Global IME Bank Limited Promoter Share (GBIMEP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,122,0,"4.00
                                
                                    (FY:070-071)","23.00
                                
                                    (FY:071-072)",
UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited (UNLB),Microfinance,"1,485,750.00","36.90 (FY:081-082, Q:2)",63.14,260.94,8.93,"3,461,797,500.00","1.00
                                
                                    (FY:079-080)","19.00
                                
                                    (FY:079-080)",
SRLI,Sanima Reliance Life Insurance Limited (SRLI),Life Insurance,"50,149,240.52","9.24 (FY:081-082, Q:2)",45.56,114.2,3.69,"21,112,830,258.92",,,
NRBBR2075ka,Bikash Rinpatra 2075 Ka (NRBBR2075KA),Government Bond,,"0.00 (FY:, Q:0)",0,0,0,0,,,
SAEF,Sanima Equity Fund (SAEF),Mutual Fund,"130,000,000.00","0.00 (FY:081-082, Q:9)",0,0,0,"1,462,500,000.00","15.00
                                
                                    (FY:080-081)",,
GILBPO,Global IME Laghubitta Bittiya Sanstha Ltd. Promoter Share (GILBPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,621,0,,,
UMRH,United IDI Mardi RB Hydropower Limited. (UMRH),Hydro Power,"4,608,240.00","20.30 (FY:081-082, Q:2)",31.28,114.26,5.56,"2,926,232,400.00",,,
MATRI,Matribhumi Laghubitta Bittiya Sanstha Limited  (MATRI),Microfinance,"6,283,573.37","-25.92 (FY:081-082, Q:2)",-49.04,200.72,6.33,"7,986,421,753.27",,,
CORBL,Corporate Development Bank Limited (CORBL),Development Bank Limited,"5,250,000.00","4.09 (FY:081-082, Q:2)",459.66,148.69,12.64,"9,870,000,000.00",,,(FY:1:1.5)
MLBSL,Mahila Laghubitta Bittiya Sanstha Limited (MLBSL),Microfinance,"2,175,625.00","67.37 (FY:081-082, Q:2)",33.84,234.94,9.7,"4,960,425,000.00",,,
KLBSL,Kisan Lagubitta Bittiya Sanstha Limited (KLBSL),Microfinance,"5,043,664.70","6.01 (FY:080-081, Q:3)",178.04,132.26,8.09,"5,396,721,229.00",,,
NMB50,NMB 50 (NMB50),Mutual Fund,"125,000,000.00","0.00 (FY:081-082, Q:10)",0,0,0,"1,287,500,000.00","15.00
                                
                                    (FY:080-081)",,
HLI,Himalayan Life Insurance Limited (HLI),Life Insurance,"91,432,373.04","8.23 (FY:081-082, Q:2)",52.26,126.5,3.4,"39,325,063,644.50",,"14.00
                                
                                    (FY:080-081)",
SPL,Shuvam Power Company Limited (SPL),Hydro Power,"2,000,000.00","4.63 (FY:081-082, Q:2)",192.76,94.74,9.42,"1,785,000,000.00",,,
ADBL,Agriculture Development Bank Limited (ADBL),Commercial Banks,"138,552,243.00","9.12 (FY:081-082, Q:2)",31.8,218.9,1.32,"40,180,150,470.00",,,
KPCL,Kalika power Company Ltd (KPCL),Hydro Power,"9,339,495.00","16.23 (FY:081-082, Q:2)",33.64,111.51,4.9,"5,099,364,270.00","0.37
                                
                                    (FY:080-081)","7.00
                                
                                    (FY:080-081)",
SLCF,Sanima Large Cap Fund (SLCF),Mutual Fund,"120,000,000.00","0.00 (FY:081-082, Q:10)",0,0,0,"1,135,200,000.00",,,
ALICL,Asian Life Insurance Co. Limited (ALICL),Life Insurance,"33,998,363.07","14.72 (FY:081-082, Q:2)",50.64,126.23,5.91,"25,342,379,832.38","0.41
                                
                                    (FY:079-080)","7.75
                                
                                    (FY:079-080)","1:0.6
                                
                                    (FY:075-076)"
ACLBSLP,Aarambha Chautari Laghubitta Bittiya Sanstha Limited Promoter Share (ACLBSLP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,556,0,,,
AVYANP,Aviyan Laghubitta Bittiya Sanstha Limited Promotor Share (AVYANP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,0,0,,,
SADBLP,Shangrila Development Bank Ltd. Promoter Share (SADBLP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,209,0,"6.30
                                
                                    (FY:070-071)","20.85
                                
                                    (FY:071-072)","4:1
                                
                                    (FY:071-072)"
NRIC,Nepal Re-Insurance Company Limited (NRIC),Others,"128,135,437.50","5.37 (FY:080-081, Q:3)",240.04,147.45,8.74,"165,166,578,937.50",,,
NRBBR2067ga,Bikash Rinpatra 2067 Ga (NRBBR2067GA),Government Bond,,"0.00 (FY:, Q:0)",0,0,0,0,,,
GFCLPO,Goodwill Finance Company Limited Promoter Share (GFCLPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,110,0,"7.72
                                
                                    (FY:070-071)","6.28
                                
                                    (FY:070-071)",
SPHL,Sayapatri Hydropower Limited (SPHL),Hydro Power,"3,000,000.00","7.46 (FY:081-082, Q:2)",105.9,93.19,8.48,"2,370,000,000.00",,,
GLH,Greenlife Hydropower Limited (GLH),Hydro Power,"18,000,000.00","-1.41 (FY:081-082, Q:2)",-175.53,78.31,3.16,"4,455,000,000.00",,,
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited (DDBL),Microfinance,"17,061,969.83","28.80 (FY:081-082, Q:2)",27.6,204.22,3.89,"13,564,266,014.85",,,"1:1
                                
                                    (FY:073-074)"
SMFDB,Summit Laghubitta Bittiya Sanstha  Ltd. (SMFDB),Microfinance,"6,370,870.44","9.25 (FY:079-080, Q:3)",104.54,128.09,7.55,"6,160,631,718.38",,,
GMFBS,Ganapati Microfinance Bittiya Sanstha Ltd (GMFBS),Microfinance,"1,515,545.35","16.30 (FY:081-082, Q:2)",105.52,132.08,13.02,"2,606,738,002.00","1.00
                                
                                    (FY:077-078)","19.00
                                
                                    (FY:077-078)",
GBILD86/87,8.5% Global IME Bank Limited Debenture 2086/87 (GBILD86/87),Corporate Debenture,"3,000,000.00","0.00 (FY:, Q:0)",0,0,"1,015.00","3,045,000,000.00",,,
NHPC,National Hydro Power Company Limited (NHPC),Hydro Power,"24,671,629.15","0.55 (FY:081-082, Q:2)",390.91,96.81,2.22,"5,304,400,267.25",,,"10:5
                                
                                    (FY:079-080)"
EBLPO,Everest Bank Limited Promoter Share (EBLPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,"1,045.00",0,"6.50
                                
                                    (FY:071-072)","12.00
                                
                                    (FY:070-071)",
RBB,Rastriya Banijya Bank Limited (RBB),Commercial Banks,"156,373,770.55","9.76 (FY:081-082, Q:2)",0,329.84,0,0,"5.50
                                
                                    (FY:079-080)","5.00
                                
                                    (FY:078-079)",
MFILPO,Manjushree Finance Limited Promoter Share (MFILPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,267.6,0,"0.60
                                
                                    (FY:071-072)","11.40
                                
                                    (FY:071-072)",
MBLPO,Machhapuchchhre Bank Limited Promotor Share (MBLPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,100,0,"0.84
                                
                                    (FY:071-072)","16.00
                                
                                    (FY:071-072)","2:01
                                
                                    (FY:071-072)"
NUBLPO,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited Promoter Share (NUBLPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,600,0,,,
MEN,Mountain Energy Nepal Limited (MEN),Hydro Power,"26,027,157.08","39.35 (FY:081-082, Q:2)",15.02,147.66,4,"15,382,049,834.28",,,
IGIPO,IGI Prudential insurance Limited Promoter Share (IGIPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,310,0,,,
MPFLPO,Multipurpose Finance Company  Limited Promoter Share (MPFLPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,202,0,,,
HBLD86,"Himalayan Bank Limited Bond, 2086 (HBLD86)",Corporate Debenture,"2,500,000.00","0.00 (FY:, Q:0)",0,0,"1,100.00","2,750,000,000.00",,,
GUFLPO,Gurkhas Finance Limited Promoter Share (GUFLPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,385,0,,,
MKJC,Mailung Khola Jal Vidhyut Company  Limited (MKJC),Hydro Power,"3,763,198.00","13.93 (FY:081-082, Q:2)",40.35,107.34,5.24,"2,115,293,595.80","0.12
                                
                                    (FY:079-080)","2.22
                                
                                    (FY:079-080)",
MEROPO,Meromicrofinance Laghubitta Bittiya Sanstha Limited Promoter Share (MEROPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,226,0,,,
NMBMF,NMB Laghubitta Bittiya Sanstha Ltd. (NMBMF),Microfinance,"7,214,491.49","3.28 (FY:081-082, Q:2)",222.96,135.81,5.38,"5,275,957,626.64",,,"1:1.5
                                
                                    (FY:075-076)"
RMF2,RBB Mutual Fund 2 (RMF2),Mutual Fund,"84,611,929.00","0.00 (FY:081-082, Q:10)",0,0,0,"761,507,361.00","8.74
                                
                                    (FY:080-081)",,
BFC,Best Finance Company Ltd. (BFC),Finance,"8,904,242.36","-3.88 (FY:081-082, Q:2)",-152.84,131.68,4.5,"5,280,215,719.48",,"20.00
                                
                                    (FY:067-068)","1:0.25
                                
                                    (FY:074-075)"
BOKD2086,8.5% Bank of Kathmadu Limited 2086 (BOKD2086),Corporate Debenture,,"0.00 (FY:, Q:0)",0,0,0,0,,,
SINDU,Sindhu Bikash Bank Ltd (SINDU),Development Bank Limited,"5,574,560.67","17.47 (FY:081-082, Q:2)",59.82,73.61,14.2,"5,825,415,900.15",,,"10:8
                                
                                    (FY:072-073)"
LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd. (LLBS),Microfinance,"4,416,621.00","7.97 (FY:081-082, Q:2)",140.03,160.94,6.93,"4,928,949,036.00",,,
CBBL,Chhimek Laghubitta Bittiya Sanstha Limited (CBBL),Microfinance,"32,153,458.68","31.84 (FY:081-082, Q:2)",27.14,237.49,3.64,"27,783,803,645.39",,,
BNT,Bottlers Nepal (Terai) Limited (BNT),Manufacturing And Processing,"1,210,000.00","-196.60 (FY:081-082, Q:2)",-67.45,"3,378.92",3.92,"16,044,600,000.00",,,
PCBLP,Prime Commercial Bank Limited Promoter Share (PCBLP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,105.2,0,"0.95
                                
                                    (FY:071-072)","18.00
                                
                                    (FY:071-072)",
CHCL,Chilime Hydropower Company Limited (CHCL),Hydro Power,"87,823,969.20","8.72 (FY:081-082, Q:2)",57.79,127.21,3.96,"44,254,498,079.88",,,
HPPL,Himalayan Power Partner Ltd. (HPPL),Hydro Power,"10,654,170.00","18.26 (FY:081-082, Q:2)",31.54,118.42,4.86,"6,136,801,920.00",,,
NFSPO,Nepal Finance Ltd. Promoter Share (NFSPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,163,0,"1.16
                                
                                    (FY:067-068)","22.00
                                
                                    (FY:067-068)",
NICD83/84,10.25% NIC Asia Debenture 2083/84 (NICD83/84),Corporate Debenture,,"0.00 (FY:, Q:0)",0,0,"1,050.50",0,,,
BOKD86,8.5% BOK Debenture 2086 (BOKD86),Corporate Debenture,"1,600,000.00","0.00 (FY:, Q:0)",0,0,"1,025.00","1,640,000,000.00",,,
UPPER,Upper Tamakoshi Hydropower Ltd (UPPER),Hydro Power,"211,800,000.00","-7.75 (FY:081-082, Q:2)",-26.3,56.55,3.6,"43,164,840,000.00",,,"1:1
                                
                                    (FY:080-081)"
NRBBR2076,Bikash Rinpatra 2076 (NRBBR2076),Government Bond,,"0.00 (FY:, Q:0)",0,0,0,0,,,
NILPO,Neco Insurace Co. Ltd. Promoter (NILPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,436,0,"0.79
                                
                                    (FY:071-072)","15.00
                                
                                    (FY:071-072)","1:1
                                
                                    (FY:071-072)"
SMPDAP,Sampada Laghubitta Bittiya Sanstha Limited Promoter Share (SMPDAP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,495,0,,,
NSLB,Naya Sarathi Laghubitta Bittiya Sanstha Limited (NSLB),Microfinance,"3,610,403.60","7.13 (FY:079-080, Q:3)",97.27,153.87,4.51,"2,503,814,896.60",,,
TBBLP,Triveni Bikas Bank Limited Promoter Share (TBBLP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,173,0,,,
RADHI,Radhi Bidyut Company Ltd (RADHI),Hydro Power,"17,555,888.47","7.22 (FY:081-082, Q:2)",54,123.24,3.16,"6,845,040,914.45","0.25
                                
                                    (FY:080-081)","4.75
                                
                                    (FY:080-081)","1:1.4752
                                
                                    (FY:079-080)"
NABILP,NABIL Bank Limited Promotor Share (NABILP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,301.1,0,"6.00
                                
                                    (FY:071-072)","30.00
                                
                                    (FY:071-072)",
PBLD84,10% Prabhu Bank Debenture 2084  (PBLD84),Corporate Debenture,,"0.00 (FY:, Q:0)",0,0,"1,095.00",0,,,
CFCL,Central Finance Co. Ltd. (CFCL),Finance,"9,488,754.59","0.74 (FY:081-082, Q:2)",781.08,133.49,4.33,"5,484,500,153.02",,,"2:1
                                
                                    (FY:074-075)"
ENL,Emerging Nepal Limited (ENL),Investment,"5,556,000.00","3.38 (FY:081-082, Q:2)",332.84,109.48,10.28,"6,250,500,000.00",,,
KPCLPO,Kalika Power Company Limited Promoter Share (KPCLPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,0,0,,,
AKJCL,Ankhu Khola Jalvidhyut Company Ltd (AKJCL),Hydro Power,"20,000,000.00","1.87 (FY:081-082, Q:2)",111.02,89.29,2.33,"4,152,000,000.00",,,"1:1.5
                                
                                    (FY:081-082)"
NTC,Nepal Doorsanchar Comapany Limited (NTC),Others,"180,000,000.00","29.28 (FY:081-082, Q:2)",30.91,506.34,1.79,"162,900,000,000.00","30.00
                                
                                    (FY:080-081)","20.00
                                
                                    (FY:077-078)",
SEF,Siddhartha Equity Fund (SEF),Mutual Fund,"150,000,000.00","0.00 (FY:081-082, Q:9)",0,0,0,"1,470,000,000.00","5.00
                                
                                    (FY:079-080)",,
TRH,Taragaon Regency Hotel Limited (TRH),Hotels And Tourism,"19,621,201.60","19.04 (FY:081-082, Q:2)",58.24,156.48,7.09,"21,757,950,454.24","11.00
                                
                                    (FY:080-081)",,
ICFCD83,12% ICFC Finance Limited Debenture 2083 (ICFCD83),Corporate Debenture,"200,000.00","0.00 (FY:, Q:0)",0,0,"1,218.00","243,600,000.00",,,
PHCL,Peoples Hydropower Company Limited (PHCL),Hydro Power,"32,000,000.00","-3.51 (FY:081-082, Q:2)",-179.2,95.25,6.6,"20,128,000,000.00",,,
BARUN,Barun Hydropower Co. Ltd. (BARUN),Hydro Power,"5,358,150.00","10.07 (FY:081-082, Q:2)",50.97,116.5,4.41,"2,750,338,395.00","0.26
                                
                                    (FY:076-077)","5.00
                                
                                    (FY:076-077)","1:1
                                
                                    (FY:079-080)"
9%CSB2083,Nepal Rastra Bank Nagarik Bachatpatra 2083 (5 Years) (9%CSB2083),Government Bond,,"0.00 (FY:, Q:0)",0,0,0,0,,,
HIDCL,Hydorelectricity Investment and Development Company Ltd (HIDCL),Investment,"245,598,130.00","4.25 (FY:081-082, Q:2)",64.35,114.15,2.4,"67,171,088,555.00",,,"1:1
                                
                                    (FY:078-079)"
KMCDBP,Kalika Laghubitta Bittiya Sanstha Limited Promoter Share (KMCDBP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,589,0,,,
HATHY,Hathway Investment Nepal Limited (HATHY),Investment,"28,314,000.00","1.05 (FY:081-082, Q:2)","1,275.24",73.15,18.3,"37,912,446,000.00",,,"9.779
                                
                                    (FY:072-073)"
NMB,NMB Bank Limited (NMB),Commercial Banks,"183,667,060.00","21.82 (FY:081-082, Q:2)",11.64,169.1,1.5,"46,651,433,240.00","8.25
                                
                                    (FY:078-079)","12.50
                                
                                    (FY:077-078)",
NABBCP,Narayani Development Bank Limited Promoter (NABBCP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,308.3,0,,,
SNMAPO,Sanima Bank Limited Promoter Share (SNMAPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,167,0,"1.05
                                
                                    (FY:071-072)","20.00
                                
                                    (FY:071-072)",
NESDO,NESDO Sambridha Laghubitta Bittiye Sanstha Limited (NESDO),Microfinance,"2,913,375.00","-92.80 (FY:081-082, Q:2)",-20.44,234.13,8.1,"5,526,381,037.50",,,
PBLD86,10.25% Prabhu Bank Debenture 2086 (PBLD86),Corporate Debenture,,"0.00 (FY:, Q:0)",0,0,"1,120.00",0,,,
BOKD86KA,"BOK Debenture 2086 ""KA"" (BOKD86KA)",Corporate Debenture,"1,100,000.00","0.00 (FY:, Q:0)",0,0,"1,116.30","1,227,930,000.00",,,
AHPC,Arun Valley Hydropower Development Co. Ltd. (AHPC),Hydro Power,"38,480,030.00","10.09 (FY:081-082, Q:2)",25.75,105.72,2.46,"9,997,111,794.00","0.16
                                
                                    (FY:080-081)","3.00
                                
                                    (FY:080-081)","1:1
                                
                                    (FY:080-081)"
RULB,Rastra Utthan Laghubitta Sanstha Limited (RULB),Microfinance,"2,599,550.00","19.10 (FY:079-080, Q:3)",39.53,180.17,4.19,"1,962,660,250.00",,,
SBD87,8.5% Sanima Debenture 2087 (SBD87),Corporate Debenture,,"0.00 (FY:, Q:0)",0,0,"1,022.00",0,,,
SALICOPO,Sagarmatha Lumbini Insurance Co. Limited Promoter Share  (SALICOPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,270,0,,,
JSLBBP,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited Promoter Share (JSLBBP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,546,0,,,
SWMFPO,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter (SWMFPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,250,0,,,
NMBMFP,NMB  Microfinance Bittiya Sanstha Ltd. Promoter Share (NMBMFP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,592,0,,,
NLG,NLG Insurance Company Ltd. (NLG),Non-Life Insurance,"15,395,359.60","9.68 (FY:081-082, Q:2)",90.34,204.83,4.27,"13,463,241,970.20",,,"10:6.256
                                
                                    (FY:081-082)"
UMHL,United Modi Hydropower Ltd. (UMHL),Hydro Power,"12,305,000.00","5.81 (FY:081-082, Q:2)",74.7,108.67,3.99,"5,340,370,000.00",,,"100:17.64
                                
                                    (FY:072-073)"
LBBL,Lumbini Bikas Bank Ltd. (LBBL),Development Bank Limited,"36,236,781.62","8.15 (FY:081-082, Q:2)",55.95,181.39,2.51,"16,523,972,418.72",,,"10:1
                                
                                    (FY:073-074)"
CIZBD90,10% Citizens Bank Debenture 2090 (CIZBD90),Others,,"0.00 (FY:, Q:0)",0,0,"1,132.90",0,,,
CIT,Citizen Investment Trust (CIT),Investment,"64,817,120.00","19.20 (FY:081-082, Q:2)",103.18,143.18,13.84,"128,402,714,720.00",,,"100:82.84
                                
                                    (FY:077-078)"
USHL,Upper Syange  Hydropower Limited (USHL),Hydro Power,"2,200,000.00","-1.70 (FY:081-082, Q:2)",-446.41,52.06,14.58,"1,669,580,000.00",,,
